model,data,mse,mae,R^2
Linear Regression,Cross Validation,2032.7762301269565,25.660890171208536,0.8759006296346618
Linear Regression,Train,1599.0193201672178,23.673727071682297,0.9168236679432202
Linear Regression,Test,2294.003460281148,29.50722907438932,0.954937236988249
